Accession	Length	Pred	Proportion	PhaMerScore	PhaMerConfidence	Lineage	PhaGCNScore	Genus	GenusCluster	TYPE	PhaTYPScore	Host	CHERRYScore	Method	Host_NCBI_lineage	Host_GTDB_lineage
NODE_11_length_586_cov_11.406780	586	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_11_length_608_cov_12.788427	608	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_11_length_623_cov_40.788732	623	non-virus	0.5	0.11	"lower than viral score threshold; proteinal prophage, please run contamination detection task"	-	0	-	-	-	0	-	0	-	-	-
NODE_11_length_628_cov_15.612565	628	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_11_length_641_cov_15.447099	641	non-virus	0.5	0.13	"lower than viral score threshold; proteinal prophage, please run contamination detection task"	-	0	-	-	-	0	-	0	-	-	-
NODE_11_length_670_cov_7.767480	670	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_11_length_705_cov_223.860000	705	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_11_length_752_cov_40.502152	752	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_11_length_762_cov_9.667610	762	virus	1	0.99	high-confidence	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	-	singleton	temperate	0.93	-	0	-	-	-
NODE_11_length_818_cov_586.163827	818	virus	1	0.99	high-confidence	"superkingdom:Viruses;clade:Monodnaviria;kingdom:Sangervirae;phylum:Phixviricota;class:Malgrandaviricetes;order:Petitvirales;family:Microviridae;subfamily:Bullavirinae;genus:Alphatrevirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.56"	Alphatrevirus	known_genus	virulent	1	species:Pectobacterium peruviense	0.94	CRISPR-based (DB)	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"	"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"
NODE_11_length_847_cov_116.513889	847	virus	0.5	0.97	medium-confidence	"superkingdom:Viruses;clade:Monodnaviria;kingdom:Sangervirae;phylum:Phixviricota;class:Malgrandaviricetes;order:Petitvirales;family:Microviridae;subfamily:Bullavirinae;genus:Alphatrevirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Alphatrevirus	known_genus	virulent	1	species:Pectobacterium peruviense	0.94	CRISPR-based (DB)	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"	"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"
NODE_11_length_898_cov_51.270463	898	virus	1	0.58	medium-confidence	"superkingdom:Viruses;clade:Monodnaviria;kingdom:Sangervirae;phylum:Phixviricota;class:Malgrandaviricetes;order:Petitvirales;family:Microviridae;subfamily:Bullavirinae;genus:Sinsheimervirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Sinsheimervirus	known_genus	virulent	1	species:Pectobacterium peruviense	0.94	CRISPR-based (DB)	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"	"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"
NODE_11_length_920_cov_21.965318	920	virus	1	0.9	high-confidence	"superkingdom:Viruses;clade:Riboviria;kingdom:Orthornavirae;phylum:Lenarviricota;class:Leviviricetes;order:Norzivirales;family:Fiersviridae;genus:Emesvirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Emesvirus	known_genus	virulent	0.65	species:activated sludge metagenome	1	AAI-based	-	-
NODE_11_length_950_cov_108.403352	950	virus	1	0.58	medium-confidence	"superkingdom:Viruses;clade:Monodnaviria;kingdom:Sangervirae;phylum:Phixviricota;class:Malgrandaviricetes;order:Petitvirales;family:Microviridae;subfamily:Bullavirinae;genus:Sinsheimervirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Sinsheimervirus	known_genus	virulent	1	species:Pectobacterium peruviense	0.94	CRISPR-based (DB)	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"	"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"
NODE_11_length_951_cov_31.040179	951	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_12_length_1143_cov_43.863051	1143	virus	1	0.9	high-confidence	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes;genus:Septimatrevirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Septimatrevirus	known_genus	virulent	1	genus:Pseudomonas	1	AAI-based	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas"	Not found
NODE_12_length_1173_cov_642.406082	1173	non-virus	0.25	0.11	"lower than viral score threshold; proteinal prophage, please run contamination detection task"	-	0	-	-	-	0	-	0	-	-	-
NODE_12_length_622_cov_219.040564	622	virus	1	0.97	high-confidence	"superkingdom:Viruses;clade:Monodnaviria;kingdom:Sangervirae;phylum:Phixviricota;class:Malgrandaviricetes;order:Petitvirales;family:Microviridae;subfamily:Bullavirinae;genus:Sinsheimervirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Sinsheimervirus	known_genus	virulent	1	species:Pectobacterium peruviense	0.94	CRISPR-based (DB)	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"	"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"
NODE_12_length_666_cov_15.468085	666	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_12_length_692_cov_176.524333	692	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_12_length_726_cov_10.846498	726	virus	1	0.57	medium-confidence	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes;genus:Pahexavirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Pahexavirus	known_genus	virulent	1	species:Cutibacterium avidum	1	CRISPR-based (DB)	"d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium avidum"	"d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium avidum"
NODE_12_length_735_cov_73.958824	735	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_12_length_812_cov_7.542933	812	non-virus	0.67	0.11	"lower than viral score threshold; proteinal prophage, please run contamination detection task"	-	0	-	-	-	0	-	0	-	-	-
NODE_12_length_816_cov_588.207622	816	virus	0.5	0.97	medium-confidence	"superkingdom:Viruses;clade:Monodnaviria;kingdom:Sangervirae;phylum:Phixviricota;class:Malgrandaviricetes;order:Petitvirales;family:Microviridae;subfamily:Bullavirinae;genus:Alphatrevirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Alphatrevirus	known_genus	virulent	1	species:Pectobacterium peruviense	0.94	CRISPR-based (DB)	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"	"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"
NODE_12_length_845_cov_2519.222785	845	virus	0.5	0.95	medium-confidence	"superkingdom:Viruses;clade:Riboviria;kingdom:Orthornavirae;phylum:Lenarviricota;class:Leviviricetes;order:Norzivirales;family:Fiersviridae;genus:Emesvirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Emesvirus	known_genus	virulent	0.65	species:activated sludge metagenome	1	AAI-based	-	-
NODE_12_length_912_cov_146.870478	912	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_12_length_973_cov_45.959695	973	virus	0.5	0.99	medium-confidence	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes"	"1.00;1.00;1.00;1.00;1.00;1.00"	-	singleton	temperate	0.97	-	0	-	-	-
NODE_13_length_1026_cov_108.160659	1026	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_13_length_1043_cov_90.638664	1043	virus	1	0.9	high-confidence	"superkingdom:Viruses;clade:Riboviria;kingdom:Orthornavirae;phylum:Lenarviricota;class:Leviviricetes;order:Norzivirales;family:Fiersviridae;genus:Emesvirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Emesvirus	known_genus	virulent	0.65	species:activated sludge metagenome	1	AAI-based	-	-
NODE_13_length_569_cov_45.330739	569	virus	1	0.66	high-confidence	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes;family:Straboviridae"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00"	-	singleton	virulent	1	-	0	-	-	-
NODE_13_length_608_cov_8.766727	608	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_13_length_609_cov_74.462094	609	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_13_length_665_cov_19.113115	665	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_13_length_682_cov_150.757576	682	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_13_length_692_cov_872.080063	692	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_13_length_762_cov_21.684583	762	virus	0.67	1	high-confidence	"superkingdom:Viruses;clade:Monodnaviria;kingdom:Sangervirae;phylum:Phixviricota;class:Malgrandaviricetes;order:Petitvirales;family:Microviridae;subfamily:Bullavirinae;genus:Sinsheimervirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Sinsheimervirus	known_genus	virulent	1	genus:Escherichia	1	AAI-based	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia"	Not found
NODE_13_length_882_cov_57.694075	882	virus	1	1	high-confidence	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes;genus:Pahexavirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Pahexavirus	known_genus	virulent	1	species:Cutibacterium avidum	1	CRISPR-based (DB)	"d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium avidum"	"d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium avidum"
NODE_14_length_1030_cov_107.398974	1030	virus	1	1	high-confidence	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	NA	group_1	temperate	1	-	0	-	-	-
NODE_14_length_571_cov_58.000000	571	non-virus	0.5	0.11	"lower than viral score threshold; proteinal prophage, please run contamination detection task"	-	0	-	-	-	0	-	0	-	-	-
NODE_14_length_599_cov_12.034926	599	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_14_length_630_cov_593.813913	630	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_14_length_652_cov_16.430486	652	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_14_length_754_cov_492.236052	754	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_14_length_873_cov_73.537897	873	virus	0.67	0.9	medium-confidence	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes"	"1.00;1.00;1.00;1.00;1.00;1.00;0.62;0.62"	-	group_2	virulent	1	-	0	-	-	-
NODE_14_length_916_cov_837.933798	916	virus	1	0.58	medium-confidence	"superkingdom:Viruses;clade:Monodnaviria;kingdom:Sangervirae;phylum:Phixviricota;class:Malgrandaviricetes;order:Petitvirales;family:Microviridae;subfamily:Bullavirinae;genus:Sinsheimervirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Sinsheimervirus	known_genus	virulent	1	species:Pectobacterium peruviense	0.94	CRISPR-based (DB)	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"	"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"
NODE_14_length_918_cov_187.431054	918	virus	1	0.9	high-confidence	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes;genus:Skunavirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Skunavirus	known_genus	temperate	0.83	species:Streptococcus thermophilus	0.93	CRISPR-based (DB)	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus thermophilus"	"d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus thermophilus"
NODE_15_length_551_cov_75.663306	551	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_15_length_581_cov_32.422053	581	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_15_length_589_cov_75.228464	589	virus	0.5	0.79	medium-confidence	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes;genus:Pahexavirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Pahexavirus	known_genus	virulent	1	species:Cutibacterium acnes	1	AAI-based	"d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes"	Not found
NODE_15_length_591_cov_3.589552	591	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_15_length_678_cov_16.802568	678	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_15_length_849_cov_53.890428	849	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_15_length_869_cov_22.723587	869	non-virus	1	0.11	"lower than viral score threshold; proteinal prophage, please run contamination detection task"	-	0	-	-	-	0	-	0	-	-	-
NODE_15_length_896_cov_21.783591	896	non-virus	1	0.41	"lower than viral score threshold; proteinal prophage, please run contamination detection task"	-	0	-	-	-	0	-	0	-	-	-
NODE_15_length_906_cov_158.972973	906	non-virus	1	0	"lower than viral score threshold; proteinal prophage, please run contamination detection task"	-	0	-	-	-	0	-	0	-	-	-
NODE_16_length_516_cov_134.559653	516	non-virus	0.5	0.11	"lower than viral score threshold; proteinal prophage, please run contamination detection task"	-	0	-	-	-	0	-	0	-	-	-
NODE_16_length_545_cov_18.495918	545	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_16_length_590_cov_9.069159	590	virus	1	0.97	high-confidence	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes;genus:Pahexavirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Pahexavirus	known_genus	virulent	1	species:Cutibacterium avidum	1	CRISPR-based (DB)	"d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium avidum"	"d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium avidum"
NODE_16_length_783_cov_107.277473	783	virus	0.5	0.63	"low-confidence; please run contamination detection task"	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes;family:Herelleviridae;subfamily:Twortvirinae;genus:Kayvirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Kayvirus	known_genus	virulent	1	genus:Staphylococcus	1	AAI-based	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus"	Not found
NODE_16_length_818_cov_32.794233	818	virus	0.33	0.98	medium-confidence	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes;genus:Obolenskvirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Obolenskvirus	known_genus	virulent	1	species:Acinetobacter sp. dk771	0.93	CRISPR-based (DB)	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter sp. dk771"	"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter wanghuae"
NODE_16_length_856_cov_73.388265	856	virus	0.67	0.9	medium-confidence	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes"	"1.00;1.00;1.00;1.00;1.00;1.00;0.62;0.62"	-	group_2	virulent	1	-	0	-	-	-
NODE_16_length_857_cov_28.416459	857	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_16_length_926_cov_52.622273	926	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_17_length_519_cov_4.993534	519	non-virus	0.67	0.11	"lower than viral score threshold; proteinal prophage, please run contamination detection task"	-	0	-	-	-	0	-	0	-	-	-
NODE_17_length_574_cov_458.976879	574	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_17_length_716_cov_27.354009	716	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_17_length_735_cov_99.070588	735	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_17_length_787_cov_20.490437	787	virus	0.5	0.99	medium-confidence	"superkingdom:Viruses;clade:Monodnaviria;kingdom:Sangervirae;phylum:Phixviricota;class:Malgrandaviricetes;order:Petitvirales;family:Microviridae;subfamily:Bullavirinae;genus:Sinsheimervirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Sinsheimervirus	known_genus	virulent	1	species:Pectobacterium peruviense	0.94	CRISPR-based (DB)	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"	"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"
NODE_17_length_810_cov_102.344371	810	virus	1	1	high-confidence	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes"	"1.00;1.00;1.00;1.00;1.00;1.00"	-	singleton	temperate	1	-	0	-	-	-
NODE_17_length_823_cov_689.654948	823	virus	1	0.97	high-confidence	"superkingdom:Viruses;clade:Monodnaviria;kingdom:Sangervirae;phylum:Phixviricota;class:Malgrandaviricetes;order:Petitvirales;family:Microviridae;subfamily:Bullavirinae;genus:Sinsheimervirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Sinsheimervirus	known_genus	virulent	1	species:Pectobacterium peruviense	0.94	CRISPR-based (DB)	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"	"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"
NODE_17_length_832_cov_72.373230	832	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_17_length_925_cov_71.714943	925	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_18_length_615_cov_402.112500	615	non-virus	0.5	0.11	"lower than viral score threshold; proteinal prophage, please run contamination detection task"	-	0	-	-	-	0	-	0	-	-	-
